,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,スライド,章
1,アクチュエータの定義として正しい記述はどれか。,機械的な運動を電気エネルギーに変換する機器,電気や油空圧などのエネルギーを機械的な運動に変換する機器,アナログ信号をデジタル信号に変換する機器,温度変化を電気信号に変換する機器,2,アクチュエータはエネルギーを運動に変換します。逆（運動→電気）は発電機です。,1. 働きと制御,8
2,アクチュエータの制御において、「運動の強さ」を表す要素はどれか。,位置と角度,力と速さ,安定性と振動,電圧と電流,2,「強さ」は力や速さ、「量」は位置や角度を指します。,1. 働きと制御,8
3,機械的な性質を利用して「運動の安定性」を確保するための部品例として、資料に挙げられている写真はどれか。,フライホイール,ギア（歯車）,バネ,ダンパー,1,回転の慣性を利用して安定性を確保するフライホイールが紹介されています。,1. 働きと制御,8
4,電磁駆動アクチュエータ（モータ等）の一般的な特徴として誤っているものはどれか。,油圧等に比べて出力が非常に大きい,使用が容易である,騒音が小さい,環境を汚さない,1,一般的に出力は（油圧等に比べて）小さいとされています。,2. 電磁駆動,8
5,次のうち、電磁駆動アクチュエータに分類されないものはどれか。,DCモータ,ステッピングモータ,ソレノイド,油圧シリンダ,4,油圧シリンダは油圧駆動です。,2. 電磁駆動,8
6,DCモータの特性において、回転速度は何に比例するか。,電流の大きさ,電圧の高さ,周波数,負荷の大きさ,2,DCモータの回転速度は印加電圧に比例します。,3. DCモータ,8
7,DCモータのトルク（回転力）は何に比例するか。,電圧の高さ,電流の大きさ,抵抗値,コイルの温度,2,トルクは流れる電流の大きさに比例します。,3. DCモータ,8
8,DCモータで大きなトルクを得るために併用される機械要素はどれか。,コンデンサ,ギア（歯車）,放熱フィン,フライホイール,2,ギアを使用して減速することでトルクを増大させます。,3. DCモータ,8
9,DCモータの回転方向を変えるための操作はどれか。,電圧を上げる,電流を遮断する,電流の流れる向きを変える,PWM周期を変える,3,電流の向き（プラス・マイナス）を逆転させると回転方向も逆になります。,4. DCモータ制御,8
10,DCモータの制御要素の組み合わせとして正しいものはどれか。,回転速度：電流、トルク：電圧,回転速度：電圧、トルク：電流,回転速度：周波数、トルク：電圧,回転速度：パルス数、トルク：周波数,2,速度は電圧、トルクは電流で制御します。,4. DCモータ制御,8
11,Hブリッジ回路はいくつのスイッチ（トランジスタ）で構成されるか。,2個,4個,6個,8個,2,モータを挟むように4つのスイッチを配置します。,5. Hブリッジ,8
12,Hブリッジ回路において、モータに「短絡ブレーキ」をかけるスイッチ操作はどれか。,全スイッチOFF,対角線上のスイッチON,電源側またはGND側のスイッチ同士をON,縦一列のスイッチON,3,モータ端子間を短絡（同電位に接続）させることで発電制動がかかります。,5. Hブリッジ,8
13,すべてのスイッチをOFFにした状態（コースト停止）の説明として正しいものはどれか。,急激に停止する,モータが無励磁になり空転しやすい状態になる,逆回転して停止する,その位置でロックされる,2,電源から切り離され、慣性で回り続けるフリーな状態になります。,5. Hブリッジ,8
14,PWM信号の「デューティ比」を求める式はどれか。,オン期間 ÷ 周期T,周期T ÷ オン期間,オフ期間 ÷ 周期T,オン期間 × 周期T,1,1周期に対するオン期間の割合です。,6. PWM信号,8
15,PWM制御はアクチュエータにおいて主に何に使われるか。,DCモータのトルク制御,ソレノイドのオンオフ制御,DCモータの速度制御やサーボモータの角度制御,ステッピングモータのステップ制御,3,電圧（速度）制御や、サーボの信号用として使われます。,6. PWM信号,8
16,PWM制御でパルス幅（オン期間）を長くすると、モータにかかる平均電圧はどうなるか。,低くなる,高くなる,変わらない,交流になる,2,オン期間が長い（デューティ比が大きい）ほど、平均電圧は高くなります。,7. PWM電圧制御,8
